,Hphob.Eisenberg,Hphob.Sweet,Hphob.Woods,Hphob.Manavalan,Hphob.Leo,Hphob.Black,Hphob.Breese,Hphob.Fauchere,Hphob.Guy,Hphob.Janin,Hphob.Miyazawa,Hphob.Argos,Hphob.Roseman,Hphob.Tanford,Hphob.Wolfenden,Hphob.Welling,Hphob.Wilson,Hphob.Parker,Hphob.pH3.4,Hphob.pH7.5,Hphob.mobility,Hphob.Chothia,Hphob.Rose
Title,,,,,,,,,,,,,,,,,,,,,,,
Authors,"Eisenberg D., Schwarz E., Komarony M., Wall R.","Sweet R.M., Eisenberg D.","Hopp T.P., Woods K.R.","Manavalan P., Ponnuswamy P.K.","Abraham D.J., Leo A.J.","Black S.D., Mould D.R.","Bull H.B., Breese K.","Fauchere J.-L., Pliska V.E.",Guy H.R.,Janin J.,"Miyazawa S., Jernigen R.L.","Rao M.J.K., Argos P.",Roseman M.A.,Tanford C.,"Wolfenden R.V., Andersson L., Cullis P.M., Southgate C.C.F.","Welling G.W., Weijer W.J., Van der Zee R., Welling-Wester S.","Wilson K.J., Honegger A., Stotzel R.P., Hughes G.J.","Parker J.M.R., Guo D., Hodges R.S.","Cowan R., Whittaker R.G.","Cowan R., Whittaker R.G.",Aboderin A.A.,Chothia C.,"Rose G.D., Geselowitz A.R., Lesser G.J., Lee R.H., Zehfus M.H."
Reference,J. Mol. Biol. 179:125-142(1984).,J. Mol. Biol. 171:479-488(1983).,Proc. Natl. Acad. Sci. U.S.A. 78:3824-3828(1981).,Nature 275:673-674(1978).,"Proteins: Structure, Function and Genetics 2:130-152(1987).",Anal. Biochem. 193:72-82(1991).,Arch. Biochem. Biophys. 161:665-670(1974).,Eur. J. Med. Chem. 18:369-375(1983).,Biophys J. 47:61-70(1985).,Nature 277:491-492(1979).,Macromolecules 18:534-552(1985).,Biochim. Biophys. Acta 869:197-214(1986).,J. Mol. Biol. 200:513-522(1988).,J. Am. Chem. Soc. 84:4240-4274(1962).,Biochemistry 20:849-855(1981).,FEBS Lett. 188:215-218(1985).,Biochem. J. 199:31-41(1981).,Biochemistry 25:5425-5431(1986).,Peptide Research 3:75-80(1990).,Peptide Research 3:75-80(1990).,Int. J. Biochem. 2:537-544(1971).,J. Mol. Biol. 105:1-14(1976).,Science 229:834-838(1985).
I,1.38,1.25,-1.8,15.67,2.46,0.943,-1.45,1.8,-1.13,0.7,8.83,1.44,1.82,1.38,2.15,-2.92,4.3,-8.0,1.81,1.83,9.3,0.6,0.88
L,1.06,1.22,-1.8,14.9,2.46,0.943,-1.65,1.7,-1.18,0.5,8.47,1.47,1.82,1.53,2.28,0.75,6.6,-9.2,1.8,1.8,10.0,0.45,0.85
W,0.81,0.5,-3.4,13.93,2.56,0.878,-1.2,2.25,-0.51,0.3,7.66,1.0,2.13,0.81,-5.88,-1.14,7.9,-10.0,1.46,1.35,9.2,0.27,0.85
V,1.08,0.91,-1.5,15.71,1.73,0.825,-0.75,1.22,-1.27,0.6,7.63,1.37,1.3,1.8,1.99,-0.13,5.9,-3.7,1.34,1.32,8.5,0.54,0.86
Y,0.26,1.67,-2.3,13.42,1.63,0.88,-1.43,0.96,-0.21,-0.4,5.89,0.83,1.47,0.26,-6.11,0.13,7.1,-1.9,0.51,0.39,8.0,0.15,0.76
F,1.19,1.92,-2.5,14.0,2.54,1.0,-1.52,1.79,-2.12,0.5,9.03,1.57,2.27,1.19,-0.76,-1.41,7.5,-9.2,1.74,1.69,9.6,0.5,0.88
M,0.64,1.02,-1.3,14.39,1.1,0.738,-0.66,1.23,-1.59,0.4,8.95,1.42,0.96,0.64,-1.48,-3.85,2.5,-4.2,1.18,1.1,8.7,0.4,0.85
